tipo,key_normalizada,mongo_existe,mongo_source,mongo_id,mongo_nombre,mongo_modulo,mongo_user,mongo_role,sql_existe,sql_source,sql_id,sql_nombre,sql_modulo,sql_user,sql_role,dictamen,accion_recomendada,riesgo,motivo
PERMISO,cargos_cargos_crear,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb3,CARGOS_CREAR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_rechazar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb6,CARGOS_RECHAZAR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_revertir,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb7,CARGOS_REVERTIR,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,cargos_cargos_ver,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acb2,CARGOS_VER,cargos,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_dashboard_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8b8,COMERCIAL_DASHBOARD_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_exportar,False,,,,,,,True,dbo.RBAC_Permisos,2d9c0a93-b4de-493c-84d0-6e9f5ca90213,comercial.exportar,Comercial,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,comercial_comercial_metas_editar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8ba,COMERCIAL_METAS_EDITAR,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_metas_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8b9,COMERCIAL_METAS_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_pax_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8be,COMERCIAL_PAX_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_tablero_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8b7,COMERCIAL_TABLERO_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_ticket_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8bb,COMERCIAL_TICKET_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_ventas_exportar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8bd,COMERCIAL_VENTAS_EXPORTAR,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_ventas_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8bc,COMERCIAL_VENTAS_VER,comercial,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,comercial_comercial_ver,False,,,,,,,True,dbo.RBAC_Permisos,fabe2faa-f2b6-42b2-a875-38b7b9e94c79,comercial.ver,Comercial,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,compras_compras_analisis_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c0,COMPRAS_ANALISIS_VER,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_dashboard_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8bf,COMPRAS_DASHBOARD_VER,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_detector_ejecutar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c1,COMPRAS_DETECTOR_EJECUTAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_gerencia_autorizar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c5,COMPRAS_GERENCIA_AUTORIZAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_parametros_editar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c8,COMPRAS_PARAMETROS_EDITAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_parametros_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c7,COMPRAS_PARAMETROS_VER,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_tareas_asignar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c4,COMPRAS_TAREAS_ASIGNAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
