file,line,module,classification,optional
backend/server.py,87,reportlab,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,88,reportlab,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,89,reportlab,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,90,reportlab,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,91,sendgrid,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,92,sendgrid,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,93,base64,STDLIB,False
backend/server.py,96,catalogo,LOCAL_PROJECT,False
backend/server.py,97,catalogo,LOCAL_PROJECT,False
backend/server.py,98,catalogo,LOCAL_PROJECT,False
backend/server.py,116,core,LOCAL_PROJECT,False
backend/server.py,137,fastapi,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,138,fastapi,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,250,core,LOCAL_PROJECT,False
backend/server.py,278,core,LOCAL_PROJECT,False
backend/server.py,341,modules,LOCAL_PROJECT,False
backend/server.py,353,core,LOCAL_PROJECT,False
backend/server.py,365,core,LOCAL_PROJECT,False
backend/server.py,395,core,LOCAL_PROJECT,False
backend/server.py,428,modules,LOCAL_PROJECT,False
backend/server.py,430,modules,LOCAL_PROJECT,False
backend/server.py,435,core,LOCAL_PROJECT,False
backend/server.py,445,modules,LOCAL_PROJECT,False
backend/server.py,460,modules,LOCAL_PROJECT,False
backend/server.py,461,modules,LOCAL_PROJECT,False
backend/server.py,469,modules,LOCAL_PROJECT,False
backend/server.py,476,modules,LOCAL_PROJECT,False
backend/server.py,486,modules,LOCAL_PROJECT,False
backend/server.py,490,modules,LOCAL_PROJECT,False
backend/server.py,494,modules,LOCAL_PROJECT,False
backend/server.py,498,modules,LOCAL_PROJECT,False
backend/server.py,503,modules,LOCAL_PROJECT,False
backend/server.py,508,modules,LOCAL_PROJECT,False
backend/server.py,513,modules,LOCAL_PROJECT,False
backend/server.py,518,modules,LOCAL_PROJECT,False
backend/server.py,523,modules,LOCAL_PROJECT,False
backend/server.py,528,modules,LOCAL_PROJECT,False
backend/server.py,533,modules,LOCAL_PROJECT,False
backend/server.py,538,modules,LOCAL_PROJECT,False
backend/server.py,543,modules,LOCAL_PROJECT,False
backend/server.py,552,modules,LOCAL_PROJECT,False
backend/server.py,554,routes,LOCAL_PROJECT,False
backend/server.py,555,modules,LOCAL_PROJECT,False
backend/server.py,556,fastapi,EXTERNAL_DECLARED_NOT_INSTALLED,False
backend/server.py,568,modules,LOCAL_PROJECT,False
backend/server.py,576,modules,LOCAL_PROJECT,False
backend/server.py,585,modules,LOCAL_PROJECT,False
backend/server.py,586,modules,LOCAL_PROJECT,False
backend/server.py,587,modules,LOCAL_PROJECT,False
backend/server.py,588,modules,LOCAL_PROJECT,False
backend/server.py,589,modules,LOCAL_PROJECT,False
backend/server.py,590,modules,LOCAL_PROJECT,False
backend/server.py,591,modules,LOCAL_PROJECT,False
backend/server.py,597,modules,LOCAL_PROJECT,False
backend/server.py,598,modules,LOCAL_PROJECT,False
backend/server.py,608,modules,LOCAL_PROJECT,False
backend/server.py,613,modules,LOCAL_PROJECT,False
backend/server.py,614,modules,LOCAL_PROJECT,False
backend/server.py,618,modules,LOCAL_PROJECT,False
backend/server.py,619,modules,LOCAL_PROJECT,False
backend/server.py,620,modules,LOCAL_PROJECT,False
backend/server.py,621,modules,LOCAL_PROJECT,False
backend/server.py,622,modules,LOCAL_PROJECT,False
